t	entropia1	entropia2	deltaentropy	old_x	old_y	new_x	new_y	grid[3][3]	grid[3][4]	grid[4][3]	grid[4][4]
0	0	0	0
1	0.500402	0.500402	0.500402	0	0	-0.125	0	0	1	0	4
2	0.500402	0.500402	0	-0.125	0	-0.125	0.125	0	1	0	4
3	0.500402	0.500402	0	0	0	0.125	0	0	1	0	4
4	0.500402	0.500402	0	0	0	0.125	0.125	0	1	0	4
5	0.500402	0.500402	0	0.125	0	0.25	0	0	1	0	4
6	0.673012	0.673012	0.172609	0	0	-0.125	0	0	2	0	3
7	0.673012	0.673012	0	-0.125	0.125	-0.125	0.25	0	2	0	3
8	0.673012	1.05492	0.381909	0.25	0	0.125	-0.125	0	2	0	3
9	0.673012	1.05492	0	0.125	0.125	0.25	0	0	2	0	3
10	0.673012	1.05492	0	0	0	0.125	0.125	0	2	0	3
11	0.673012	1.05492	0	-0.125	0.25	-0.125	0.125	0	2	0	3
12	0.673012	1.05492	0	0.125	-0.125	0	-0.25	0	2	0	3
13	0.950271	1.33218	0.277259	-0.125	0	-0.25	-0.125	1	1	0	3
14	0.950271	1.33218	0	0.125	0.125	0.125	0	1	1	0	3
15	0.950271	1.33218	0	0.125	0	0	0.125	1	1	0	3
16	0.950271	1.33218	0	0.25	0	0.375	0	1	1	0	3
17	0.950271	1.33218	0	-0.25	-0.125	-0.25	-0.25	1	1	0	3
18	0.950271	1.05492	-0.277259	0	-0.25	-0.125	-0.375	1	1	0	3
19	0.950271	1.05492	0	0.375	0	0.375	0.125	1	1	0	3
20	0.950271	1.05492	0	-0.125	0.125	-0.25	0	1	1	0	3
21	0.950271	1.05492	0	-0.25	-0.25	-0.125	-0.125	1	1	0	3
22	1.05492	0.950271	-0.10465	0	0	-0.125	-0.125	2	1	0	2
23	0.950271	1.05492	0.10465	-0.125	-0.125	0	0	1	1	0	3
24	1.05492	1.05492	0	0	0	-0.125	0.125	1	2	0	2
25	1.05492	1.05492	0	0.375	0.125	0.375	0	1	2	0	2
26	1.05492	1.05492	0	-0.125	-0.375	-0.125	-0.25	1	2	0	2
27	0.673012	1.05492	0	-0.125	-0.125	0	0	0	2	0	3
28	0.673012	1.05492	0	-0.25	0	-0.125	0	0	2	0	3
29	1.05492	1.33218	0.277259	0.375	0	0.25	-0.125	0	2	1	2
30	1.05492	1.33218	0	-0.125	0.125	-0.125	0.25	0	2	1	2
