Divs	Time [ms]
5	306
55	353.2
105	359.2
155	334.4
205	338.4
255	342.6
305	348.2
355	348.2
405	344.4
455	332
505	344.6
555	337.6
605	358.4
655	348
705	336.2
755	342.8
805	346
855	337.2
905	363.2
955	353.4
1005	338
1055	346.4
1105	351
1155	342
1205	368.8
1255	369.2
1305	341.4
1355	364.2
1405	338
1455	342.8
1505	386
1555	345.8
1605	344.6
1655	380.2
1705	346.4
1755	342.2
1805	387.2
1855	353.2
1905	351
1955	370.2
2005	356.4
2055	368.4
2105	373.2
2155	354.6
2205	354.8
2255	374.2
2305	363.2
2355	390.6
2405	364.6
2455	362.6
2505	373.4
2555	363
2605	385.4
2655	385
2705	378
2755	367.8
2805	382.6
2855	381.6
2905	430.6
2955	374.4
3005	386.8
3055	386.2
3105	374.8
3155	422.8
3205	373.8
3255	384.4
3305	404.8
3355	385.4
3405	416.8
3455	406.8
3505	384.8
3555	413.4
3605	387.6
3655	408
3705	424.4
3755	392.8
3805	418.4
3855	400.4
3905	416.8
3955	431.4
4005	401.8
4055	426
4105	416.4
4155	429.6
4205	430.8
4255	410
4305	428
4355	431.2
4405	478
4455	432.6
4505	417.4
4555	440.2
4605	456.2
4655	440.2
4705	438.2
4755	484.2
4805	432.4
4855	474.6
4905	446.2
4955	450.2
5005	452.4
5055	463.6
5105	465.2
5155	444.4
5205	480.6
5255	447.6
5305	501.2
5355	452
5405	459.4
5455	472.6
5505	475.6
5555	491.8
5605	464.8
5655	497
5705	504.8
5755	501.2
5805	472.4
5855	490.4
5905	495.4
5955	502.2
6005	492.6
6055	504
6105	498
6155	524.4
6205	513.6
6255	514.8
6305	511.4
6355	534
6405	526.2
6455	523.6
6505	538.8
6555	525.8
6605	521.6
6655	529.6
6705	540.4
6755	547.2
6805	533.2
6855	569.6
6905	575.8
6955	533.4
7005	558.4
7055	540.4
7105	590.4
7155	550
7205	588.6
7255	567.8
7305	584.2
7355	558.2
7405	591.6
7455	594.2
7505	573.8
7555	580
7605	608.2
7655	585.8
7705	595.6
7755	589
7805	621.2
7855	615.2
7905	608.4
7955	620.2
8005	602.8
8055	629.4
8105	621
8155	643.8
8205	634.6
8255	617.4
8305	672.6
8355	615.8
8405	659.8
8455	661.8
8505	636.4
8555	669.4
8605	694
8655	664.6
8705	670.6
8755	680
8805	685.4
8855	664.2
8905	688.4
8955	675.4
9005	682.2
9055	719.8
9105	683.8
9155	700.6
9205	733.4
9255	685.8
9305	716.2
9355	750
9405	702.4
9455	754.6
9505	737.2
9555	707.8
9605	757.6
9655	779.2
9705	741.6
9755	745.4
9805	759.6
9855	759
9905	765.4
9955	757.8
