Divs	Time [ms]
1600	319
2500	332.667
3600	308.333
4900	298
6400	313.333
8100	312
10000	309.667
12100	360.667
14400	299
16900	317
19600	316.333
22500	319
25600	310.667
28900	322.667
32400	306.667
36100	326
40000	308
44100	320.667
48400	360.333
52900	312
57600	320.667
62500	321.333
67600	338.667
72900	314.333
78400	346.333
84100	315.333
90000	338.333
96100	327
102400	350.333
108900	339.333
115600	340.667
122500	333.333
129600	342.333
136900	322.333
144400	333.333
152100	344
160000	345
168100	343.667
176400	356.667
184900	334.333
193600	393.333
202500	348.333
211600	358.667
220900	331.667
230400	340
240100	354
250000	360
260100	353
270400	384.667
280900	343
291600	384.667
302500	350.667
313600	381.667
324900	348.333
336400	357.667
348100	373.333
360000	386.667
372100	383.333
384400	378.333
396900	379
409600	408
422500	388.333
435600	360.667
448900	373.333
462400	375.667
476100	422
490000	403
504100	380.333
518400	405.333
532900	394.667
547600	415
562500	392.333
577600	423.667
592900	398.667
608400	441.667
624100	409
640000	397.667
656100	421
672400	450.333
688900	408
705600	421.667
722500	407
739600	463.667
756900	443.667
774400	421.333
792100	421.333
810000	437.667
828100	463
846400	471
864900	432
883600	498
902500	460.333
921600	443.667
940900	453.667
960400	461.667
980100	464.333
