Divs	Time [ms]
10	393
20	376
30	333
40	350
50	294
60	293
70	354
80	343
90	287
100	291
110	284
120	324
130	309
140	313
150	284
160	287
170	289
180	279
190	321
200	292
210	321
220	283
230	277
240	286
250	302
260	314
270	283
280	298
290	283
300	276
310	284
320	276
330	356
340	284
350	288
360	329
370	282
380	304
390	278
400	275
410	288
420	335
430	315
440	295
450	297
460	277
470	277
480	287
490	276
500	307
510	284
520	275
530	304
540	330
550	317
560	280
570	305
580	284
590	275
600	283
610	278
620	305
630	314
640	309
650	280
660	277
670	288
680	375
690	317
700	441
710	295
720	321
730	277
740	283
750	275
760	275
770	282
780	305
790	277
800	314
810	328
820	279
830	280
840	277
850	312
860	276
870	273
880	322
890	324
900	285
910	280
920	306
930	278
940	274
950	281
960	273
970	275
980	277
990	344
