Divs	Time [ms]
5	58.4
55	90
105	93
155	128
205	90.8
255	97.4
305	92.8
355	93.2
405	91.8
455	106
505	97.8
555	94.2
605	93.4
655	94
705	111.6
755	93.8
805	94.8
855	93.8
905	99.4
955	97.2
1005	101.2
1055	95
1105	96.6
1155	113
1205	96.8
1255	106
1305	96.8
1355	100.6
1405	97.6
1455	97.4
1505	106.2
1555	102
1605	98.4
1655	98.2
1705	99.4
1755	106.2
1805	105.8
1855	98.6
1905	98.6
1955	103.6
2005	113.8
2055	100
2105	100.4
2155	120
2205	100.6
2255	100.4
2305	106.6
2355	112
2405	100.8
2455	110.6
2505	105.4
2555	106.6
2605	102
2655	103.2
2705	103.2
2755	108.2
2805	107.8
2855	112.2
2905	106.6
2955	121.4
3005	106.2
3055	107
3105	129.4
3155	107.4
3205	108.4
3255	124.8
3305	124.6
3355	115
3405	117.6
3455	113.4
3505	112.8
3555	111.6
3605	111.2
3655	117.4
3705	112.2
3755	117.2
3805	118.2
3855	142.6
3905	114.8
3955	123.6
4005	125.8
4055	115.4
4105	116
4155	117.2
4205	125.4
4255	136.6
4305	117.4
4355	123.8
4405	118.6
4455	117.8
4505	126.4
4555	121.2
4605	120.4
4655	129.6
4705	154
4755	122.4
4805	138.6
4855	128.2
4905	122.8
4955	123.6
5005	131
5055	138.8
5105	143.4
5155	132.2
5205	125.8
5255	127
5305	133.6
5355	128
5405	130.2
5455	154.8
5505	146.4
5555	146
5605	136.8
5655	132
5705	133.2
5755	140.2
5805	137
5855	148.6
5905	160
5955	135.2
6005	136.8
6055	143.6
6105	138.6
6155	137.6
6205	166.4
6255	165.6
6305	158.2
6355	147.4
6405	144.4
6455	149.8
6505	157.8
6555	143.8
6605	157.4
6655	156
6705	145.6
6755	150.2
6805	147
6855	170.8
6905	158.4
6955	162.2
7005	169.4
7055	151.2
7105	151.4
7155	163.8
7205	167.2
7255	157.4
7305	162.6
7355	169
7405	164
7455	157.8
7505	179.4
7555	196.4
7605	159.8
7655	187.8
7705	162.4
7755	169.4
7805	178.4
7855	173.4
7905	164.4
7955	176
8005	179.2
8055	167
8105	186
8155	184
8205	172.8
8255	174.4
8305	181.8
8355	194.2
8405	173.4
8455	180.2
8505	178.4
8555	192.2
8605	185
8655	195
8705	196.4
8755	179.2
8805	186.8
8855	188.4
8905	208.6
8955	184.2
9005	188.6
9055	184
9105	192
9155	216.4
9205	217
9255	188.6
9305	200
9355	192.8
9405	219
9455	211.4
9505	204.8
9555	197.2
9605	201.4
9655	209.6
9705	235.8
9755	199.6
9805	205.8
9855	201.2
9905	233.2
9955	215.6
