Divs	Time [ms]
1600	56.3333
2500	58.3333
3600	69
4900	63.3333
6400	67.6667
8100	55.6667
10000	88.3333
12100	74.6667
14400	55.3333
16900	56
19600	56.3333
22500	56.3333
25600	57.6667
28900	59.3333
32400	67.6667
36100	74.6667
40000	68.3333
44100	60.3333
48400	62.3333
52900	71
57600	72
62500	62.3333
67600	64
72900	69
78400	64.3333
84100	73.3333
90000	68.6667
96100	74.6667
102400	68
108900	65.3333
115600	66.6667
122500	66.6667
129600	67
136900	67.3333
144400	66.6667
152100	75.3333
160000	67.6667
168100	67.3333
176400	66.6667
184900	67
193600	74
202500	72.6667
211600	81
220900	68
230400	86.3333
240100	79.6667
250000	69.3333
260100	70.6667
270400	71
280900	69
291600	69.6667
302500	81
313600	78.3333
324900	70.3333
336400	80.3333
348100	98.3333
360000	70.3333
372100	71.3333
384400	71.3333
396900	70.6667
409600	75
422500	71.6667
435600	73
448900	86.3333
462400	84.3333
476100	77.6667
490000	92.6667
504100	74.3333
518400	74
532900	73.6667
547600	74
562500	89.3333
577600	103.667
592900	77
608400	75.6667
624100	75
640000	75.3333
656100	84
672400	86
688900	79.6667
705600	94
722500	83.6667
739600	79
756900	81
774400	80.3333
792100	85
810000	90.6667
828100	108
846400	120.333
864900	86.6667
883600	86.6667
902500	99.3333
921600	102.667
940900	84.3333
960400	82.3333
980100	141
