Divs	Time [ms]
10	108
20	90
30	115
40	70
50	82
60	85
70	68
80	65
90	89
100	88
110	62
120	61
130	61
140	60
150	58
160	71
170	76
180	60
190	63
200	58
210	56
220	57
230	57
240	58
250	56
260	55
270	56
280	55
290	55
300	55
310	58
320	55
330	54
340	55
350	55
360	55
370	60
380	55
390	84
400	55
410	56
420	57
430	54
440	54
450	55
460	55
470	54
480	55
490	58
500	55
510	54
520	55
530	54
540	54
550	60
560	54
570	54
580	54
590	56
600	79
610	56
620	54
630	69
640	55
650	63
660	111
670	57
680	56
690	55
700	53
710	60
720	53
730	74
740	83
750	54
760	54
770	53
780	54
790	54
800	54
810	55
820	54
830	57
840	53
850	54
860	81
870	87
880	66
890	55
900	62
910	56
920	57
930	54
940	55
950	88
960	78
970	54
980	56
990	54
