Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 27.27      0.03     0.03   600000     0.05     0.13  Particle::moveRandom(double, double, double, double, double, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
 18.18      0.05     0.02     2885     6.93     6.93  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
  9.09      0.06     0.01  3600012     0.00     0.00  std::uniform_int_distribution<int>::param_type::a() const
  9.09      0.07     0.01   600000     0.02     0.02  std::allocator_traits<std::allocator<double> >::deallocate(std::allocator<double>&, double*, unsigned long)
  9.09      0.08     0.01   600000     0.02     0.02  void std::vector<double, std::allocator<double> >::_M_range_initialize<double const*>(double const*, double const*, std::forward_iterator_tag)
  9.09      0.09     0.01   191386     0.05     0.05  std::_Hashtable<int, std::pair<int const, int>, std::allocator<std::pair<int const, int> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_node(unsigned long, int const&, unsigned long) const
  9.09      0.10     0.01                             main
  4.55      0.10     0.01  1200006     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  4.55      0.11     0.01   600000     0.01     0.03  std::vector<double, std::allocator<double> >::~vector()
  0.00      0.11     0.00  3000800     0.00     0.00  std::vector<Particle, std::allocator<Particle> >::operator[](unsigned long)
  0.00      0.11     0.00  1800006     0.00     0.02  getRandomInt(int, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, bool)
  0.00      0.11     0.00  1800006     0.00     0.00  std::uniform_int_distribution<int>::param_type::b() const
  0.00      0.11     0.00  1800006     0.00     0.01  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  0.00      0.11     0.00  1800006     0.00     0.00  std::uniform_int_distribution<int>::param_type::param_type(int, int)
  0.00      0.11     0.00  1800006     0.00     0.01  unsigned int std::uniform_int_distribution<int>::_S_nd<unsigned long, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, unsigned int>(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, unsigned int)
  0.00      0.11     0.00  1800006     0.00     0.00  std::uniform_int_distribution<int>::uniform_int_distribution(int, int)
  0.00      0.11     0.00  1800006     0.00     0.02  int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.11     0.00  1800006     0.00     0.02  int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_int_distribution<int>::param_type const&)
  0.00      0.11     0.00  1800000     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  0.00      0.11     0.00  1800000     0.00     0.00  std::allocator<double>::~allocator()
  0.00      0.11     0.00  1800000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      0.11     0.00  1200400     0.00     0.00  Particle::getX() const
  0.00      0.11     0.00  1200400     0.00     0.00  Particle::getY() const
  0.00      0.11     0.00  1200006     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00      0.11     0.00  1200000     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&)
  0.00      0.11     0.00  1200000     0.00     0.00  __gnu_cxx::new_allocator<double>::_M_max_size() const
  0.00      0.11     0.00  1200000     0.00     0.00  std::initializer_list<double>::begin() const
  0.00      0.11     0.00  1200000     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  0.00      0.11     0.00  1200000     0.00     0.00  double const* std::__miter_base<double const*>(double const*)
  0.00      0.11     0.00  1200000     0.00     0.00  double const* std::__niter_base<double const*>(double const*)
  0.00      0.11     0.00   600400     0.00     0.00  Particle::setX(double)
  0.00      0.11     0.00   600400     0.00     0.00  Particle::setY(double)
  0.00      0.11     0.00   600020     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.11     0.00   600000     0.00     0.02  delta_entropy(std::unordered_map<int, int, std::hash<int>, std::equal_to<int>, std::allocator<std::pair<int const, int> > >&, double, double, double, double, double, double, int, double, double, int)
  0.00      0.11     0.00   600000     0.00     0.00  __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long)
  0.00      0.11     0.00   600000     0.00     0.00  __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)
  0.00      0.11     0.00   600000     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator()
  0.00      0.11     0.00   600000     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.00      0.11     0.00   600000     0.00     0.00  std::initializer_list<double>::end() const
  0.00      0.11     0.00   600000     0.00     0.00  std::initializer_list<double>::size() const
  0.00      0.11     0.00   600000     0.00     0.00  std::allocator<double>::allocator()
  0.00      0.11     0.00   600000     0.00     0.00  double* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.00      0.11     0.00   600000     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  0.00      0.11     0.00   600000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00      0.11     0.00   600000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&)
